Problem,|V|,|E|,Randomized,Greedy,Semi-Greedy (α=0.5),Local Search (Greedy),GRASP (α=0.5 & iter=100),Known Best Solution
G1,800,19176,9713,10949,11142,21898,22320,12078
G2,800,19176,9672,11050,11192,22100,22390,12084
G3,800,19176,9508,11015,11256,22030,22208,0
G4,800,19176,9548,11059,11192,22118,22292,0
G5,800,19176,9548,11038,11232,22076,22242,0
G6,800,19176,128,1579,1650,4922,5026,0
G7,800,19176,0,1442,1455,4743,4825,0
G8,800,19176,28,1429,1491,4837,4877,0
G9,800,19176,63,1428,1529,4681,4732,0
G10,800,19176,0,1307,1527,4502,4573,0
G11,800,1600,0,432,420,1286,1280,0
G12,800,1600,36,418,386,1272,1204,0
G13,800,1600,54,418,358,1254,1092,0
G14,800,4694,2295,2900,2891,5800,4555,0
G15,800,4661,2385,2865,2883,5730,5762,0
G16,800,4672,2283,2894,2872,5788,5814,0
G17,800,4667,2298,2883,2864,5766,5704,0
G18,800,4694,0,760,749,2258,2151,0
G19,800,4661,0,710,676,2214,2114,0
G20,800,4672,0,736,666,2244,2132,0
G21,800,4667,0,733,673,2278,2178,0
G22,2000,19990,10042,12340,12686,24680,25258,0
G23,2000,19990,10039,12328,12588,24656,25468,0
G24,2000,19990,9995,12372,12659,24744,25262,0
G25,2000,19990,9911,12394,12662,24788,25220,0
G26,2000,19990,10070,12327,12626,24654,25256,0
G27,2000,19990,37,2345,2471,7391,7752,0
G28,2000,19990,15,2292,2360,7449,7568,0
G29,2000,19990,95,2369,2512,7490,7776,0
G30,2000,19990,150,2424,2554,7635,7695,0
G31,2000,19990,0,2329,2521,7442,7737,0
G32,2000,4000,0,1028,1062,3142,3254,0
G33,2000,4000,36,1008,942,3162,3020,0
G34,2000,4000,0,980,1008,3132,3268,0
G35,2000,11778,5820,7242,7293,14484,14622,0
G36,2000,11766,5908,7240,7303,14480,14542,0
G37,2000,11785,5918,7274,7257,14548,14610,0
G38,2000,11779,5911,7252,7311,14504,11578,0
G39,2000,11778,0,1869,1301,5623,4687,0
G40,2000,11766,0,1873,1858,5767,5556,0
G41,2000,11785,0,1876,1710,5712,4956,0
G42,2000,11779,41,1943,1546,5747,5357,0
G43,1000,9990,4989,6187,6291,12374,12678,0
G44,1000,9990,4986,6118,6293,12236,12574,0
G45,1000,9990,4981,6193,6284,12386,12466,0
G46,1000,9990,4987,6188,6281,12376,12646,0
G47,1000,9990,4939,6202,6296,12404,12648,0
G48,3000,6000,3038,6000,5598,12000,10774,0
G49,3000,6000,2954,6000,5662,12000,11218,0
G50,3000,6000,2896,5880,5642,11760,11338,0
G51,1000,5909,2984,3652,3649,7304,7328,0
G52,1000,5916,3086,3637,3657,7274,7272,0
G53,1000,5914,3081,3642,3621,7284,7292,0
G54,1000,5916,3002,3622,3639,7244,7300,0
