Name,|V|,|E|,Randomized-1,Greedy-1,Semi-greedy-1,Local-1,GRASP-1,Known best
G1,800,19176,9704,10967,11185,11362,9600,12078
G2,800,19176,9489,11036,11133,11359,9631,12084
G3,800,19176,9564,11018,11159,11328,9620,12077
G4,800,19176,9569,11050,11156,11399,9734,0
G5,800,19176,9608,11056,11186,11436,9694,0
G6,800,19176,64,1488,1670,1988,46,0
G7,800,19176,-138,1422,1477,1761,124,0
G8,800,19176,-63,1320,1479,1750,33,0
G9,800,19176,-30,1428,1475,1797,206,0
G10,800,19176,-21,1275,1472,1775,202,0
G11,800,1600,34,432,416,444,32,627
G12,800,1600,-10,418,410,436,414,621
G13,800,1600,12,418,392,468,6,645
G14,800,4694,2321,2901,2892,2949,2357,3187
G15,800,4661,2328,2876,2875,2926,2317,3169
G16,800,4672,2322,2896,2891,2925,2375,3172
G17,800,4667,2354,2887,2884,2943,2353,0
G18,800,4694,24,807,741,889,110,0
G19,800,4661,-74,743,637,765,106,0
G20,800,4672,-20,728,688,805,54,0
G21,800,4667,-77,701,637,816,84,0
G22,2000,19990,9964,12402,12728,12970,9906,14123
G23,2000,19990,9874,12300,12699,12947,9920,14129
G24,2000,19990,10033,12361,12669,12903,9938,14131
G25,2000,19990,10026,12393,12675,12959,9913,0
G26,2000,19990,10096,12327,12585,12919,9875,0
G27,2000,19990,-65,2322,2438,2881,446,0
G28,2000,19990,-11,2294,2410,2823,25,0
G29,2000,19990,-10,2369,2425,2873,420,0
G30,2000,19990,21,2412,2603,2924,47,0
G31,2000,19990,-165,2334,2430,2822,26,0
G32,2000,4000,16,1026,1058,1160,26,1560
G33,2000,4000,-46,1008,1078,1144,28,1537
G34,2000,4000,-38,980,1024,1108,20,1541
G35,2000,11778,5890,7284,7297,7394,5922,8000
G36,2000,11766,5905,7222,7257,7352,5934,7996
G37,2000,11785,5912,7254,7311,7409,5977,8009
G38,2000,11779,5894,7231,7295,7405,5813,0
G39,2000,11778,-40,1938,1197,1940,53,0
G40,2000,11766,-21,1896,1797,2063,35,0
G41,2000,11785,-8,1876,1687,2033,67,0
G42,2000,11779,82,1967,1724,2092,94,0
G43,1000,9990,5011,6172,6254,6433,5049,7027
G44,1000,9990,4969,6168,6328,6494,5018,7022
G45,1000,9990,4951,6200,6254,6408,4971,7020
G46,1000,9990,4947,6186,6357,6460,4980,0
G47,1000,9990,5006,6231,6313,6488,4958,0
G48,3000,6000,2956,6000,5694,5718,2972,6000
G49,3000,6000,3000,6000,5718,5722,2994,6000
G50,3000,6000,3024,5878,5610,5624,2994,5988
G51,1000,5909,2974,3623,3613,3676,2916,0
G52,1000,5916,3003,3632,3618,3683,3002,0
G53,1000,5914,2945,3651,3633,3705,3020,0
G54,1000,5916,2909,3633,3639,3695,2892,0
